ppg_diff,home_adv,form_diff,attack_diff,defense_diff,clean_diff,fail_diff,elo_diff,exp_diff,league_diff,result,over25,btts
0.29166666666666674,0.9999999999999998,0.20999999999999996,0.0,-0.5,0.19999999999999998,-0.1,0,0,0.0,0,1,1
0.29166666666666674,0.6923076923076923,0.2733333333333333,-0.10000000000000009,-0.30000000000000004,0.1,0.0,0,-1,0.0,1,1,1
-1.0651785714285715,-0.9375,-0.29666666666666675,-0.6000000000000001,0.4,-0.10000000000000003,0.2,0,-3,0.0,2,1,0
0.3021645021645021,0.5,0.23666666666666664,-0.09999999999999998,-0.5000000000000001,0.3,-0.2,0,2,0.0,0,1,0
-0.271780303030303,-0.17279411764705888,-0.0766666666666666,0.0,0.7999999999999999,-0.3,-0.09999999999999998,0,-1,0.0,2,0,0
-0.16293436293436314,-0.2941176470588234,-0.25,-0.20000000000000007,0.7000000000000001,-0.39999999999999997,0.0,0,-2,0.0,2,1,1
0.22727272727272751,0.45454545454545436,0.2333333333333334,0.09999999999999987,0.4,-0.5,-0.3,0,0,0.0,2,1,1
-0.36842105263157876,0.26315789473684226,-0.48000000000000004,0.10000000000000009,0.7,-0.3,0.0,0,0,0.0,0,1,1
0.4491071428571429,0.8194444444444444,0.33666666666666667,0.19999999999999996,-0.20000000000000007,0.2,0.0,0,3,0.0,0,1,1
-0.7304347826086955,-0.09782608695652151,-0.1833333333333333,-0.10000000000000009,0.9,-0.39999999999999997,0.0,0,-6,0.0,0,0,0
0.18181818181818177,0.5454545454545453,0.22666666666666663,-0.19999999999999996,-0.6000000000000001,0.39999999999999997,0.2,0,0,0.0,1,0,1
-0.34375,-0.19444444444444442,0.11333333333333329,0.30000000000000004,-0.30000000000000004,0.09999999999999998,-0.19999999999999996,0,-4,0.0,1,0,1
-0.7236842105263159,-0.20723684210526305,-0.30333333333333345,0.09999999999999987,0.8999999999999999,-0.3,-0.2,0,-6,0.0,1,0,1
-0.1875,0.8125,0.2533333333333334,-0.09999999999999998,-0.5999999999999999,0.3,0.0,0,0,0.0,2,0,0
-0.31818181818181823,-0.36363636363636376,-0.3566666666666668,-0.7,0.10000000000000009,0.1,0.0,0,0,0.0,1,0,0
0.4974747474747472,0.6013071895424835,0.006666666666666599,0.30000000000000004,0.4,-0.3,-0.2,0,3,0.0,0,0,0
0.6491071428571429,0.5,0.26333333333333336,0.6000000000000001,0.19999999999999996,0.09999999999999998,-0.09999999999999998,0,3,0.0,1,0,1
-0.8780487804878048,-0.33846153846153837,-0.23666666666666664,-0.3999999999999999,0.3999999999999999,-0.09999999999999998,0.10000000000000003,0,-15,0.0,2,0,0
0.5096153846153846,1.2538461538461538,0.32333333333333336,0.8,-0.40000000000000013,-0.09999999999999998,-0.39999999999999997,0,12,0.0,0,1,1
0.2235872235872236,0.875,0.11333333333333329,-0.10000000000000009,-0.19999999999999996,-0.09999999999999998,-0.30000000000000004,0,4,0.0,0,1,1
-0.22683982683982662,0.22222222222222232,-0.4433333333333334,-0.5,-0.20000000000000007,0.09999999999999998,0.2,0,-2,0.0,0,1,0
-0.2272727272727273,-0.5454545454545454,-0.10333333333333328,-0.20000000000000007,-0.19999999999999996,0.10000000000000003,0.10000000000000003,0,0,0.0,1,1,1
0.32274247491638786,1.1538461538461537,-0.1399999999999999,0.6000000000000001,0.0,-0.2,-0.1,0,6,0.0,0,1,0
-0.5273056057866183,-0.2213622291021673,0.030000000000000027,0.5999999999999999,0.0,0.09999999999999998,-0.2,0,44,0.0,1,0,1
-0.3990384615384617,0.4711538461538465,-0.2633333333333333,-0.5,-0.19999999999999996,-0.19999999999999998,0.29999999999999993,0,-6,0.0,1,0,1
